"use.homeopathic.remedies","healthy.lifestyle","speed.of.healing"
11.8474,16.3304,55.1349
6.4263,10.4394,37.2411
7.4717,11.7643,41.7766
11.1266,15.3475,54.8408
9.86,14.5618,51.236
10.2019,14.626,48.761
8.0348,11.9731,42.4029
8.9638,12.6817,43.6052
7.5647,10.485,39.0448
12.8471,17.045,56.9721
11.99,15.6676,52.2666
12.6076,17.4511,56.1305
10.8439,14.3683,51.1293
10.3023,14.2515,49.6996
12.7552,18.6447,62.0096
10.9376,14.7237,48.978
8.5109,13.4596,47.367
7.4004,10.5652,35.8309
10.6501,14.5804,50.1573
10.0805,14.5012,47.5032
9.3925,14.2209,49.6741
10.1325,12.6914,45.7476
9.2196,13.0773,43.3332
7.4472,10.2063,36.3066
11.3594,15.0053,49.4957
9.3028,12.6764,45.2811
6.2763,9.3566,35.5842
12.078,15.5792,50.1507
9.5563,13.0889,45.8486
11.7054,16.5209,56.8352
11.7785,15.3581,51.8641
7.1043,8.2079,27.2277
9.1099,12.9978,45.8348
13.7946,19.3933,63.8905
11.4151,14.9907,54.6022
9.9574,14.4688,51.1406
8.6585,12.1072,40.6323
13.5017,17.6477,56.8553
9.0803,11.7644,42.3774
11.4784,16.0794,55.2588
11.2515,14.9509,49.1892
10.5131,15.5746,52.9445
5.6602,9.755,35.9184
9.7018,13.9733,49.537
10.5397,13.4469,49.3655
6.3475,9.2737,34.3248
10.7253,15.3137,53.0336
8.4131,11.8272,44.0306
9.7929,12.3491,42.7147
9.4457,13.7822,49.5872
8.9815,12.6547,44.6223
7.8622,10.8958,37.9718
10.6445,14.5203,51.6768
10.1699,14.5175,47.4405
6.9542,10.6169,38.6202
9.2677,12.587,44.5451
8.7233,12.8182,45.6792
7.686,10.6266,37.1955
10.3955,13.8144,48.0641
7.4764,11.3535,42.5834
9.0897,12.5224,42.7774
9.5115,13.6882,47.0496
13.4701,19.2062,63.1467
5.2542,8.3331,31.5825
9.4347,13.7782,46.6416
10.2578,14.3075,50.3554
9.0331,12.6535,42.0238
9.5735,11.8794,43.0222
9.3789,12.3221,43.7498
10.8885,14.3673,48.902
8.157,11.6649,38.2931
9.1316,14.2996,45.8799
9.283,13.0261,44.5777
8.4447,12.253,44.0245
10.5093,14.3979,50.76
10.2845,13.9259,49.8631
9.7524,14.2635,50.8415
5.9595,8.7591,35.3573
11.1775,15.5939,53.5084
10.786,15.177,53.5219
9.4131,13.1464,46.5687
9.3722,13.7812,43.8007
12.3221,15.9824,53.2565
11.8339,17.0656,53.0836
10.4746,14.3907,48.4511
11.9134,16.2779,54.9536
7.5316,10.7753,39.3284
10.5186,16.2336,53.0458
8.5318,12.6898,45.0059
11.3955,15.2741,52.5291
9.922,14.2241,50.142
7.9537,11.3255,39.5137
9.9557,14.7644,50.6052
12.0687,16.6256,56.5093
9.2233,13.5728,48.4973
7.5946,11.5884,38.5929
10.4293,14.4852,46.5959
11.9833,16.8364,58.0331
12.9626,16.764,58.8134
10.6507,15.5488,51.7102
